ablation,prompts_won_strict,prompts_won_fractional,win_rate_strict,win_rate_fractional
decide_model_gemini-2.5-flash,6,7.299999999999997,0.20689655172413793,0.2517241379310344
BackgroundMellow_baseline,4,5.299999999999999,0.13793103448275862,0.18275862068965515
toggle_use_dsp_to_predict_align,2,3.3000000000000003,0.06896551724137931,0.11379310344827587
toggle_use_dl_based_llm_and_dsp_alignment_predictor,1,2.3000000000000007,0.034482758620689655,0.07931034482758623
toggle_use_dsp,1,2.3000000000000007,0.034482758620689655,0.07931034482758623
toggle_use_llm_to_predict_align,1,2.3000000000000007,0.034482758620689655,0.07931034482758623
toggle_fill_coverage_by_llm,1,2.3000000000000003,0.034482758620689655,0.07931034482758621
toggle_use_avg_llm_and_dsp_to_predict_align,0,1.3,0.0,0.04482758620689655
toggle_use_movie_bgms,0,1.3,0.0,0.04482758620689655
toggle_use_narrator,0,1.3,0.0,0.04482758620689655
